category_id,class,family,genus,kingdom,name,order,phylum,supercategory
7477,Magnoliopsida,Platanaceae,Platanus,Plantae,Platanus occidentalis,Proteales,Magnoliophyta,Plantae
6814,Magnoliopsida,Fabaceae,Vicia,Plantae,Vicia sativa,Fabales,Magnoliophyta,Plantae
5739,Magnoliopsida,Apiaceae,Ferula,Plantae,Ferula communis,Apiales,Magnoliophyta,Plantae
7901,Magnoliopsida,Vitaceae,Parthenocissus,Plantae,Parthenocissus quinquefolia,Vitales,Magnoliophyta,Plantae
6563,Magnoliopsida,Ebenaceae,Diospyros,Plantae,Diospyros virginiana,Ericales,Magnoliophyta,Plantae
5562,Liliopsida,Bromeliaceae,Ananas,Plantae,Ananas comosus,Poales,Magnoliophyta,Plantae
7390,Magnoliopsida,Malvaceae,Sidalcea,Plantae,Sidalcea malviflora,Malvales,Magnoliophyta,Plantae
6313,Magnoliopsida,Cactaceae,Acanthocereus,Plantae,Acanthocereus tetragonus,Caryophyllales,Magnoliophyta,Plantae
7836,Magnoliopsida,Convolvulaceae,Convolvulus,Plantae,Convolvulus arvensis,Solanales,Magnoliophyta,Plantae
7226,Magnoliopsida,Verbenaceae,Glandularia,Plantae,Glandularia bipinnatifida,Lamiales,Magnoliophyta,Plantae
5807,Magnoliopsida,Asteraceae,Achillea,Plantae,Achillea millefolium,Asterales,Magnoliophyta,Plantae
7013,Magnoliopsida,Bignoniaceae,Handroanthus,Plantae,Handroanthus chrysanthus,Lamiales,Magnoliophyta,Plantae
5805,Magnoliopsida,Aquifoliaceae,Ilex,Plantae,Ilex vomitoria,Aquifoliales,Magnoliophyta,Plantae
5156,Agaricomycetes,Phallaceae,Phallus,Fungi,Phallus indusiatus,Phallales,Basidiomycota,Fungi
7691,Magnoliopsida,Rosaceae,Rubus,Plantae,Rubus odoratus,Rosales,Magnoliophyta,Plantae
6455,Magnoliopsida,Polygonaceae,Eriogonum,Plantae,Eriogonum incanum,Caryophyllales,Magnoliophyta,Plantae
6590,Magnoliopsida,Ericaceae,Leucopogon,Plantae,Leucopogon fraseri,Ericales,Magnoliophyta,Plantae
5209,Agaricomycetes,Stereaceae,Xylobolus,Fungi,Xylobolus frustulatus,Russulales,Basidiomycota,Fungi
5237,Ulvophyceae,Trentepohliaceae,Cephaleuros,Plantae,Cephaleuros lagerheimii,Trentepohliales,Chlorophyta,Plantae
8078,Polypodiopsida,Polypodiaceae,Microsorum,Plantae,Microsorum pustulatum,Polypodiales,Pteridophyta,Plantae
5564,Liliopsida,Bromeliaceae,Hechtia,Plantae,Hechtia texensis,Poales,Magnoliophyta,Plantae
6436,Magnoliopsida,Phytolaccaceae,Phytolacca,Plantae,Phytolacca americana,Caryophyllales,Magnoliophyta,Plantae
6134,Magnoliopsida,Asteraceae,Taraxacum,Plantae,Taraxacum officinale,Asterales,Magnoliophyta,Plantae
6594,Magnoliopsida,Ericaceae,Monotropa,Plantae,Monotropa uniflora,Ericales,Magnoliophyta,Plantae
6835,Magnoliopsida,Fagaceae,Castanea,Plantae,Castanea dentata,Fagales,Magnoliophyta,Plantae
7611,Magnoliopsida,Rhamnaceae,Rhamnus,Plantae,Rhamnus cathartica,Rosales,Magnoliophyta,Plantae
6596,Magnoliopsida,Ericaceae,Pterospora,Plantae,Pterospora andromedea,Ericales,Magnoliophyta,Plantae
7508,Magnoliopsida,Papaveraceae,Dicentra,Plantae,Dicentra cucullaria,Ranunculales,Magnoliophyta,Plantae
7709,Magnoliopsida,Ulmaceae,Ulmus,Plantae,Ulmus americana,Rosales,Magnoliophyta,Plantae
7967,Pinopsida,Pinaceae,Pinus,Plantae,Pinus strobus,Pinales,Pinophyta,Plantae
6968,Magnoliopsida,Rubiaceae,Galium,Plantae,Galium aparine,Gentianales,Magnoliophyta,Plantae
7519,Magnoliopsida,Papaveraceae,Sanguinaria,Plantae,Sanguinaria canadensis,Ranunculales,Magnoliophyta,Plantae
7399,Magnoliopsida,Muntingiaceae,Muntingia,Plantae,Muntingia calabura,Malvales,Magnoliophyta,Plantae
6359,Magnoliopsida,Cactaceae,Opuntia,Plantae,Opuntia basilaris,Caryophyllales,Magnoliophyta,Plantae
7078,Magnoliopsida,Lamiaceae,Stachys,Plantae,Stachys rigida,Lamiales,Magnoliophyta,Plantae
5346,Liliopsida,Asparagaceae,Maianthemum,Plantae,Maianthemum stellatum,Asparagales,Magnoliophyta,Plantae
7478,Magnoliopsida,Platanaceae,Platanus,Plantae,Platanus racemosa,Proteales,Magnoliophyta,Plantae
6286,Magnoliopsida,Aizoaceae,Conicosia,Plantae,Conicosia pugioniformis,Caryophyllales,Magnoliophyta,Plantae
6604,Magnoliopsida,Ericaceae,Rhododendron,Plantae,Rhododendron lapponicum,Ericales,Magnoliophyta,Plantae
7838,Magnoliopsida,Convolvulaceae,Cuscuta,Plantae,Cuscuta pacifica,Solanales,Magnoliophyta,Plantae
5756,Magnoliopsida,Apiaceae,Sanicula,Plantae,Sanicula bipinnatifida,Apiales,Magnoliophyta,Plantae
6078,Magnoliopsida,Asteraceae,Senecio,Plantae,Senecio flaccidus,Asterales,Magnoliophyta,Plantae
5685,Liliopsida,Poaceae,Pennisetum,Plantae,Pennisetum setaceum,Poales,Magnoliophyta,Plantae
